demande_id,region,prefecture,commune,quartier,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur,commune_id,latitude,longitude,altitude_m,superficie_km2_x,population_densite,code_postal,type_commune,distance_capitale_km,zone_climatique,population,superficie_km2_y,densite,taux_urbanisation,taux_alphabétisation,age_median,nombre_menages,revenu_moyen_fcfa,pib_par_habitant_fcfa,taux_chomage,taux_pauvrete,acces_electricite,acces_eau_potable,acces_internet,indice_developpement,score_education,score_sante,nombre_ecoles,nombre_hopitaux,nombre_banques,mois,nom_mois,jour_semaine,est_weekend
D001,CENTRALE,SOTOUBOUA,SOTOUBOUA,Nyékonakpoé,Carte d'identité,Identité,168,1,0.0,2023-09-30,Perte,Rejetée,En ligne,27,M,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,9,September,Saturday,True
D002,KARA,BINAH,PAGOUDA,Hôpital,Carte d'identité,Identité,17,22,0.09,2023-12-22,Vol,Traitee,En ligne,21,F,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,,,,,,,,,,,,,12,December,Friday,False
D003,PLATEAUX,OGOU,ATAKPAME,Bè,Certificat de nationalité,Identité,104,4,0.08,2023-08-13,Concours,Traitee,En ligne,18,M,COM053,7.3133,1.1083,354.0,137.0,3058.0,BP 87,Urbaine,131.0,Transition,58073.0,177.0,328.0,0.56,0.76,20.0,13170.0,208908.0,660000.0,0.18,0.34,0.89,0.86,0.44,0.65,0.71,0.66,125.0,9.0,23.0,8,August,Sunday,True
D004,SAVANES,OTI,MANGO,Amoutivé,Carte d'identité,Identité,92,39,0.02,2023-06-08,Première demande,Rejetée,Guichet,64,M,COM163,10.1324,0.399,187.0,516.0,36.0,BP 370,Rurale,453.0,Savane,46977.0,239.0,196.0,0.13,0.64,23.0,9179.0,127582.0,470000.0,0.26,0.51,0.73,0.71,0.29,0.51,0.56,0.54,72.0,4.0,12.0,6,June,Thursday,False
D005,MARITIME,ZIO,TSEVIE,Adidogomé,Livre de famille,Civil,138,7,0.12,2023-02-02,Détérioration,Rejetée,En ligne,30,M,COM039,6.1125,1.2066,66.0,102.0,1427.0,BP 124,Urbaine,3.0,Côtière,128421.0,73.0,1759.0,0.52,0.86,22.0,20002.0,217586.0,,,,,,,,,,,,,2,February,Thursday,False
D006,SAVANES,TONE,DAPAONG,Nyékonakpoé,Carte d'identité,Identité,157,22,0.15,2023-04-02,Vol,Traitee,En ligne,82,F,COM157,10.2444,0.6929,164.0,187.0,3082.0,BP 32,Urbaine,460.0,Savane,115222.0,275.0,418.0,0.6,0.67,24.0,18856.0,172975.0,,,,,,,,,,,,,4,April,Sunday,True
D007,SAVANES,OTI,MANGO,Golfe,Carte d'identité,Identité,25,9,0.01,2023-10-05,Vol,Rejetée,Guichet,53,M,COM163,10.1324,0.399,187.0,516.0,36.0,BP 370,Rurale,453.0,Savane,46977.0,239.0,196.0,0.13,0.64,23.0,9179.0,127582.0,470000.0,0.26,0.51,0.73,0.71,0.29,0.51,0.56,0.54,72.0,4.0,12.0,10,October,Thursday,False
D008,MARITIME,GOLFE,LOME,Golfe,Livre de famille,Civil,192,45,0.04,2023-06-21,Perte,Traitee,En ligne,83,M,COM010,6.6952,1.4561,69.0,190.0,4690.0,BP 137,Urbaine,68.0,Côtière,424644.0,482.0,881.0,0.95,0.83,23.0,71055.0,372987.0,,,,,,,,,,,,,6,June,Wednesday,False
D009,CENTRALE,TCHAOUDJO,SOKODE,Hôpital,Passeport,Voyage,177,4,0.08,2023-02-08,Perte,Traitee,Guichet,29,M,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,2,February,Wednesday,False
D010,KARA,KOZAH,KARA,Tokoin,Livre de famille,Civil,21,15,0.1,2023-11-09,Détérioration,En cours,En ligne,70,F,COM125,9.3424,1.305,532.0,196.0,1916.0,BP 394,Urbaine,357.0,Savane,165744.0,145.0,1143.0,0.58,0.7,19.0,40188.0,185819.0,590000.0,0.2,0.37,0.86,0.83,0.42,0.62,0.67,0.64,115.0,8.0,21.0,11,November,Thursday,False
D011,MARITIME,GOLFE,ADIDOGOME,Hôpital,Casier judiciaire,Judiciaire,145,31,0.15,2023-10-30,Emploi,En cours,Guichet,39,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,October,Monday,False
D012,KARA,BINAH,PAGOUDA,Kodjoviakopé,Livre de famille,Civil,140,19,0.13,2023-05-18,Nouveau mariage,Traitee,Guichet,83,F,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,,,,,,,,,,,,,5,May,Thursday,False
D013,CENTRALE,SOTOUBOUA,SOTOUBOUA,Golfe,Livre de famille,Civil,102,37,0.06,2023-06-25,Perte,Rejetée,Guichet,37,F,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,6,June,Sunday,True
D014,SAVANES,TONE,DAPAONG,Golfe,Casier judiciaire,Judiciaire,11,18,0.12,2023-04-30,Emploi,Traitee,En ligne,70,M,COM157,10.2444,0.6929,164.0,187.0,3082.0,BP 32,Urbaine,460.0,Savane,115222.0,275.0,418.0,0.6,0.67,24.0,18856.0,172975.0,,,,,,,,,,,,,4,April,Sunday,True
D015,KARA,BINAH,PAGOUDA,Hôpital,Passeport,Voyage,27,33,0.07,2023-12-25,Perte,Rejetée,Guichet,53,M,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,,,,,,,,,,,,,12,December,Monday,False
D016,CENTRALE,TCHAOUDJO,SOKODE,Amoutivé,Casier judiciaire,Judiciaire,127,5,0.1,2023-11-13,Voyage,Traitee,Guichet,67,M,COM099,8.5197,1.2843,255.0,106.0,4331.0,BP 284,Urbaine,265.0,Plateau/Montagneux,116781.0,238.0,490.0,0.78,0.76,18.0,18648.0,279000.0,520000.0,0.23,0.45,0.78,0.75,0.34,0.56,0.61,0.59,80.0,4.0,12.0,11,November,Monday,False
D017,MARITIME,VO,VOGAN,Hôpital,Passeport,Voyage,61,24,0.04,2023-02-21,Voyage,Traitee,En ligne,30,F,COM001,6.2295,1.504,19.0,343.0,35.0,BP 272,Rurale,34.0,Côtière,48777.0,478.0,102.0,0.33,0.76,19.0,8590.0,78348.0,,,,,,,,,,,,,2,February,Tuesday,False
D018,KARA,BINAH,PAGOUDA,Nyékonakpoé,Acte de naissance,Civil,167,2,0.01,2023-04-29,Perte,En cours,Guichet,63,M,COM132,9.5536,1.042,422.0,302.0,330.0,BP 455,Semi-urbaine,380.0,Savane,46417.0,426.0,108.0,0.11,0.64,24.0,7374.0,138235.0,,,,,,,,,,,,,4,April,Saturday,True
D019,CENTRALE,SOTOUBOUA,SOTOUBOUA,Kodjoviakopé,Carte d'identité,Identité,38,7,0.1,2023-11-10,Vol,Traitee,Guichet,57,M,COM105,9.1953,1.3893,256.0,204.0,183.0,BP 96,Semi-urbaine,341.0,Savane,155452.0,204.0,762.0,0.52,0.75,21.0,30086.0,218170.0,530000.0,0.22,0.43,0.79,0.76,0.32,0.55,0.61,0.59,74.0,4.0,11.0,11,November,Friday,False
